Jobtitle,Female Avg Hrly Rate,No. Female Empl,Average of Female MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Male Avg Hrly Rate,No. Male Empl,Average of Male MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
Accountant,30.58,23,88.96,30.28,7,85.71,30.51,30,88.2,101%,
"Accountant,Prin",38.75,23,59.96,37.64,7,7,38.49,30,47.6,102.95%,
"Accountant,Sr",34.48,23,60.61,33.89,6,43.67,34.36,29,57.1,101.75%,
Act Exec,43.1,4,146,42.02,7,106.29,42.42,11,120.73,102.56%,
Actg Tech I,22.56,1,156,,,,22.56,1,156,,no men in title
Actg Tech I-BU,22.56,10,81.8,22.56,2,35.5,22.56,12,74.08,100%,
Actg Tech II,23.98,7,112.71,24.35,1,75,24.03,8,108,98.49%,
Actg Tech II-BU,24.19,74,103.23,24.21,18,134.5,24.2,92,109.35,99.95%,
Actg Tech III,26.64,7,51.57,,,,26.64,7,51.57,,no men in title
Actg Tech III-BU,26.69,32,89.97,26.18,5,51.2,26.63,37,84.73,101.96%,
Actg Tech II-MC,24.35,2,199.5,,,,24.35,2,199.5,,no men in title
Actg Tech Supv-BU,28.84,4,59.25,,,,28.84,4,59.25,,no men in title
Admin Spec I,22.35,15,129.4,21.76,2,46,22.28,17,119.59,102.7%,
Admin Spec I-BU,22.43,78,121.04,22.43,12,91.17,22.43,90,117.06,100.01%,
Admin Spec II,24.32,28,126.07,23.9,4,42.5,24.26,32,115.63,101.73%,
Admin Spec II-BU,24.25,140,91.78,24.11,18,76.5,24.24,158,90.04,100.61%,
Admin Spec III,26.1,12,78,26.26,2,94.5,26.12,14,80.36,99.39%,
Admin Spec III-BU,25.94,30,64.9,25.93,3,53.67,25.94,33,63.88,100.03%,
Admin Spec III-MC,26.26,1,72,,,,26.26,1,72,,no men in title
Admin Spec II-MC,24.35,28,129.18,24.35,2,129,24.35,30,129.17,100%,
Admin Spec I-MC,22.56,16,145,22.56,3,123,22.56,19,141.53,100%,
Admin Staff Anlyst,35.59,40,76.95,35,3,49,35.55,43,75,101.69%,
Admin Staff Asst,30.86,54,65.8,30.48,8,72,30.82,62,66.6,101.26%,
Admin Support Asst,20.61,1,77,,,,20.61,1,77,,no men in title
Admin Support Asst-BU,20.3,10,84.2,20.61,2,83,20.36,12,84,98.52%,
Admin Support Asst-MC,,,,20.61,2,219.5,20.61,2,219.5,,no women in title
Admin Support Supv-BU,27.58,10,73.5,27.78,2,141,27.61,12,84.75,99.28%,
Admin Support Supv-MC,27.78,4,119.25,27.78,1,158,27.78,5,127,100%,
Administrator-Law,48.11,1,28,,,,48.11,1,28,,no men in title
Adms Employee,17.11,5,115.4,17.11,8,102.5,17.11,13,107.46,100%,
Adms Personnel Dispatcher,,,,24.1,1,161,24.1,1,161,,no women in title
Animal Contrl Ofcr I,24.32,1,55,24.08,4,55.5,24.13,5,55.4,101.01%,
Animal Contrl Ofcr II,26.53,3,128.67,26.53,6,142.17,26.53,9,137.67,100%,
Animal Contrl Ofcr Supv,30.72,2,54,,,,30.72,2,54,,no men in title
"Appraiser,Sr",,,,43.91,1,54,43.91,1,54,,no women in title
Apprenticeship Coord,33.69,2,116,,,,33.69,2,116,,no men in title
Aquarium Biologist 1,23.88,2,53,23.88,1,76,23.88,3,60.67,100%,
Aquarium Biologist 2,26.26,5,81.2,26.26,3,71.33,26.26,8,77.5,100%,
Aquarium Biologist 3,,,,31.16,3,83.33,31.16,3,83.33,,no women in title
Aquarium Laboratory Spec,26.26,1,124,,,,26.26,1,124,,no men in title
"Aquarium Systs Op,Chief",,,,37.7,1,268,37.7,1,268,,no women in title
Aquatic Cntr Coord,32.52,7,108.43,32.52,2,223,32.52,9,133.89,100%,
"Aquatic Cntr Coord,Asst",28.75,4,93.25,29.17,3,56,28.93,7,77.29,98.56%,
Arboriculturist,33.09,1,67,32.9,7,80.86,32.92,8,79.13,100.58%,
Arborist,,,,44.74,2,164,44.74,2,164,,no women in title
"Architect,Sr",,,,44.74,1,49,44.74,1,49,,no women in title
Arts Conserv Tech,27.78,1,65,27.78,1,65,27.78,2,65,100%,
Arts Prgm Spec,32.35,5,56.4,,,,32.35,5,56.4,,no men in title
"Arts Prgm Spec,Sr",36.37,4,76.75,36.3,1,18,36.36,5,65,100.2%,
Asphalt Raker,,,,26.94,4,42.75,26.94,4,42.75,,no women in title
"Asphalt Raker,Sr",,,,28.23,7,67.71,28.23,7,67.71,,no women in title
Asst To The Supt,,,,46.41,1,2,46.41,1,2,,no women in title
Auto Body Wkr/Pntr,,,,29.79,2,123,29.79,2,123,,no women in title
Auto Engr,,,,39.2,2,110.5,39.2,2,110.5,,no women in title
"Auto Engr,Sr",,,,40.74,4,27.5,40.74,4,27.5,,no women in title
Auto Equip Pntr,,,,29.79,1,183,29.79,1,183,,no women in title
Auto Maint CC,,,,36.28,4,63,36.28,4,63,,no women in title
Auto Mechanic,31.02,1,138,31.02,48,108.17,31.02,49,108.78,100%,
Auto Mechanic Aprn,27.27,1,46,27.27,2,45,27.27,3,45.33,100%,
"Auto Mechanic,Sr",32.6,1,28,32.6,13,90.62,32.6,14,86.14,100%,
Auto Sheet Metal Wkr,,,,29.79,2,181,29.79,2,181,,no women in title
Bailiff,25.77,7,137.29,24.77,1,25,25.65,8,123.25,104.04%,
"Bailiff,Chief",29.41,1,79,,,,29.41,1,79,,no men in title
Benefits Asst,26.26,2,203,,,,26.26,2,203,,no men in title
"Bldg Inspector,Journey",,,,38.45,2,39.5,38.45,2,39.5,,no women in title
"Bldg Inspector,Sr(Expert)",,,,40.74,10,79.3,40.74,10,79.3,,no women in title
"Bldg Inspector,Strucl",,,,42.25,2,67,42.25,2,67,,no women in title
Bldg Operating Engr,,,,31.16,3,138.33,31.16,3,138.33,,no women in title
Bldg Plans Examiner,36.45,2,3.5,35.38,4,20.5,35.74,6,14.83,103.01%,
"Bldg Plans Examiner,Sr",42.25,2,47,,,,42.25,2,47,,no men in title
Bldg/Facilities Opns Supv-BU,,,,30.58,2,41,30.58,2,41,,no women in title
Bridge Carpentry&Maint Lead,,,,30.28,3,104.67,30.28,3,104.67,,no women in title
Bridge Elecl CC,,,,38.1,1,19,38.1,1,19,,no women in title
Bridge Elecl Maint Supv,,,,41.07,1,64,41.07,1,64,,no women in title
Bridge Maint General Supv,,,,37.34,1,55,37.34,1,55,,no women in title
Bridge Maint Mech Hlpr,,,,23.79,3,114,23.79,3,114,,no women in title
Bridge Maint Mechanic,,,,33.37,3,98,33.37,3,98,,no women in title
Bridge Maint Mechanic CC,,,,35.43,1,4,35.43,1,4,,no women in title
Bridge Op,27.34,1,385,27.26,12,165.83,27.27,13,182.69,100.29%,
"Bridge Op,Sr",28.85,2,67.5,28.85,2,126,28.85,4,96.75,100%,
Bridge Opns CC,,,,34.02,1,71,34.02,1,71,,no women in title
Bridge Opns General Supv,37.39,1,76,,,,37.39,1,76,,no men in title
"Buyer,Sr",39.96,3,51.33,38.86,4,73,39.33,7,63.71,102.82%,
Camp Svc Aide,17.99,2,206.5,,,,17.99,2,206.5,,no men in title
"Camp Svc Aide,Sr",19.8,1,203,,,,19.8,1,203,,no men in title
Capital Prjts Coord,41.56,3,48.33,41.04,9,70.44,41.17,12,64.92,101.26%,
Capital Prjts Coord Supv,42.51,1,0,49.33,1,3,45.92,2,1.5,86.17%,
Capital Prjts Coord Supv-BU,49.33,1,15,47.62,1,13,48.47,2,14,103.59%,
"Capital Prjts Coord,Asst",38.5,3,46.67,,,,38.5,3,46.67,,no men in title
"Capital Prjts Coord,Chief",49.33,1,67,,,,49.33,1,67,,no men in title
"Capital Prjts Coord,Sr",46.98,12,74.33,47.12,35,72.34,47.08,47,72.85,99.71%,
Carpenter,30.28,4,276.5,30.28,18,138.28,30.28,22,163.41,100%,
Carpenter CC,,,,34.08,4,120,34.08,4,120,,no women in title
"Carpenter,Sr",31.57,1,146,31.57,3,103.33,31.57,4,114,100%,
Cashier,16.62,12,76.25,16.6,5,116.2,16.61,17,88,100.12%,
"Cashier,Sr",19.38,3,84,18.74,1,52,19.22,4,76,103.42%,
Cblspl Aprn,,,,31.68,4,14.5,31.68,4,14.5,,no women in title
Cblspl CC-Asg C Coord,,,,46.28,2,81,46.28,2,81,,no women in title
Cblspl CC-Asg Locator,46.28,1,19,,,,46.28,1,19,,no men in title
Cblspl CC-Net Area,46.28,3,37,46.28,16,100.63,46.28,19,90.58,100%,
Cblspl-Asg Locator,41.14,1,18,41.14,2,35.5,41.14,3,29.67,100%,
Cblspl-Jrnywkr In Chg,,,,43.33,3,31.67,43.33,3,31.67,,no women in title
Cblspl-Net Area,41.14,5,78.2,41.14,37,42.81,41.14,42,47.02,100%,
Cement Finisher,,,,28.24,5,184,28.24,5,184,,no women in title
"Cement Finisher,Sr",,,,29.88,5,95,29.88,5,95,,no women in title
Cement Finisher-Parks Facils,,,,30.28,2,105,30.28,2,105,,no women in title
"City Archivist,Asst",38.48,3,98,,,,38.48,3,98,,no men in title
City Attorney,,,,73.26,1,40,73.26,1,40,,no women in title
"City Attorney,Asst",49.2,36,62.67,55.11,28,72.93,51.79,64,67.16,89.27%,
"City Attorney,Asst-BU",36.72,17,25.47,41.8,10,26.1,38.6,27,25.7,87.83%,
City Light Supt,,,,117.32,1,111,117.32,1,111,,no women in title
City Records Mgmt Anlyst,36.3,1,42,32.39,1,8,34.35,2,25,112.07%,
Civil Engr Supv,54.51,13,50.31,54.16,31,76.84,54.26,44,69,100.64%,
"Civil Engr,Assoc",39.7,14,94.86,39.91,28,81.64,39.84,42,86.05,99.47%,
"Civil Engr,Asst I",,,,29.69,3,15,29.69,3,15,,no women in title
"Civil Engr,Asst II",,,,32.36,4,13,32.36,4,13,,no women in title
"Civil Engr,Asst III",,,,37.38,2,76,37.38,2,76,,no women in title
